person_id,display_name,scholar_id,scholar_id_source_url,scholar_id_verified_at,orcid,homepage_url,notes
person-biegler-a1415ed7,Lorenz Biegler,ymFxqWQAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-biyabani-0e26ad2b,Biyabani,,,,,,Migrated from the legacy map registries; full-name review pending.
person-blanton-54668acf,Shawn Blanton,,,,,,Verified against an official CMU directory on 2026-07-17.
person-bockstaller-a1dbd67d,Michael Bockstaller,VQJVBdMAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-bodily-fd4c755b,Brandon H. Bodily,,,,,,Verified against an official CMU directory on 2026-07-17.
person-bolmin-6dfa8453,Ophelia Bolmin,32ZyPkEAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-brianshyu-9ddf8c62,Brian Shyu,,,,,,Added from an official CMU directory on 2026-07-17; Scholar ID unresolved.
person-brown-ad3a67f7,Tim Brown,8q_lPBoAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-brucehkrogh-4ea05314,Bruce H. Krogh,,,,,,Added from an official CMU directory on 2026-07-17; Scholar ID unresolved.
person-brumley-1bfcea91,David Brumley,O-29z5AAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-budnik-d386695e,Budnik,RYA0zwUAAAAJ,,,,,Migrated from the legacy map registries; full-name review pending.
person-busogi-ecf63734,Moise Busogi,TEMlkDMAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-bustamante-7062b357,Pedro Bustamante,RH_0tmMAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-cagan-16e7bc91,Jonathan Cagan,VtINcewAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-cameronnriviere-c8f5fc44,Cameron N. Riviere,,,,,,Added from an official CMU directory on 2026-07-17; Scholar ID unresolved.
person-campbell-74479813,Phil G. Campbell,CxBBWlIAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-carley-21a0a269,Rick Carley,,,,,,Verified against an official CMU directory on 2026-07-17.
person-chalacheva-f588853e,P. Sang Chalacheva,,,,,,Verified against an official CMU directory on 2026-07-17.
person-chamanzar-94b70a7b,Maysam Chamanzar,gnEgtr8AAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-chan-2024b343,Daphne Wui Yarn Chan,Pstgk60AAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-chan-fc965d45,Justin Chan,dpyzXwMAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-chase-dd29cfbd,Steven M. Chase,H-pgq9QAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-chi-25086311,Chi,h1NXfKYAAAAJ,,,,,Migrated from the legacy map registries; full-name review pending.
person-chrishendrickson-c5d421c4,Chris Hendrickson,0LqbCKAAAAAJ,https://engineering.cmu.edu/directory/bios/hendrickson-chris.html,2026-07-17,,https://engineering.cmu.edu/directory/bios/hendrickson-chris.html,Added from an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-christian-a1f6caea,Sarah Christian,,,,,,Verified against an official CMU directory on 2026-07-17.
person-christin-60194590,Nicolas Christin,X5buTmMAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-coffelt-0feda5ba,Coffelt,0oI3MWkAAAAJ,,,,,Migrated from the legacy map registries; full-name review pending.
person-cohen-karni-eb20363d,Tzahi Cohen-Karni,7dey80AAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17. Directory name variants: Tzahi (Itzhaq) Cohen-Karni; Tzahi Cohen-Karni.
person-cohon-8a9512c6,Cohon,,,,,,Migrated from the legacy map registries; full-name review pending.
person-combemale-cc33b973,Christophe Combemale,EoRxB3gAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-cook-2d634c17,Keith E. Cook,sAdoeA8AAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-corder-85362a88,Lloyd Corder,,,,,,Verified against an official CMU directory on 2026-07-17.
person-costasamaras-5d34bb32,Costa Samaras,yReyGAwAAAAJ,https://engineering.cmu.edu/directory/bios/samaras-costa.html,2026-07-17,,https://engineering.cmu.edu/directory/bios/samaras-costa.html,Added from an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-cranor-fbc855c4,Lorrie Cranor,kIUqgbcAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-da-silva-sousa-4b72157b,Leonardo da Silva Sousa,Fl1qHEAAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-dai-db83fd8d,Lake Dai,,,,,,Verified against an official CMU directory on 2026-07-17.
person-damonweiss-bfc30ae1,Damon Weiss,uEt7V18AAAAJ,https://engineering.cmu.edu/directory/bios/weiss-damon.html,2026-07-17,,https://engineering.cmu.edu/directory/bios/weiss-damon.html,Added from an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-dandin-e72bd7be,Marc Dandin,mjixDB8AAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-danielsiewiorek-9c874b22,Daniel Siewiorek,B13SvmAAAAAJ,https://hcii.cmu.edu/people/daniel-siewiorek,2026-07-18,,https://hcii.cmu.edu/people/daniel-siewiorek,Scholar ID verified from the official CMU HCII profile on 2026-07-18.
