person_id,department_id,role,included,legacy_label,source_url,verified_at
person-shyamalaprayaga-e52447fa,cmu-silicon-valley,adjunct,false,Shyamala Prayaga,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-taborga-a8dc05b6,cmu-silicon-valley,faculty,true,Taborga,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-tague-1b94d56e,cmu-silicon-valley,teaching,true,Tague,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-thomas-f531a8ff,cmu-silicon-valley,teaching,true,Thomas,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-varodayan-84666bbe,cmu-silicon-valley,teaching,true,Varodayan,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-wlodarski-430ec9b1,cmu-silicon-valley,teaching,true,Wlodarski,https://www.sv.cmu.edu/directory/index.html,2026-07-17
person-aayushyaagarwal-c534d11d,ece,faculty,true,Aayushya Agarwal,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-allstot-6ad615ae,ece,faculty,true,Allstot,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-amvrosiadis-29ddc594,ece,faculty,true,Amvrosiadis,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-andreazanette-fa7db71d,ece,faculty,true,Andrea Zanette,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-andrewilyas-9f6dac37,ece,faculty,true,Andrew Ilyas,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-andrewspielberg-4df438e1,ece,faculty,true,Andrew Spielberg,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-andrzejstrojwas-c932a868,ece,emeritus,true,Andrzej Strojwas,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-bain-f729169f,ece,faculty,true,Bain,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-barr-von-oehsen-995dd42f,ece,faculty,true,Barr von Oehsen,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-bauer-8e3d1320,ece,faculty,true,Bauer,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-bchen-ca344e62,ece,faculty,true,BChen,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-benson-0e101d83,ece,faculty,true,Benson,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-bhagavatula-b81126e7,ece,faculty,true,Bhagavatula,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-blanton-54668acf,ece,faculty,true,Blanton,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-brucehkrogh-4ea05314,ece,emeritus,true,Bruce H. Krogh,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-brumley-1bfcea91,ece,faculty,true,Brumley,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-budnik-d386695e,ece,former,false,Budnik,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-carley-21a0a269,ece,faculty,true,Carley,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-chamanzar-94b70a7b,ece,faculty,true,Chamanzar,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-chan-fc965d45,ece,faculty,true,Chan,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-chi-25086311,ece,former,false,Chi,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-da-silva-sousa-4b72157b,ece,teaching,true,da Silva Sousa,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-dandin-e72bd7be,ece,faculty,true,Dandin,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-danielsiewiorek-9c874b22,ece,emeritus,true,Daniel Siewiorek,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-davidgreve-68956618,ece,emeritus,true,David Greve,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-davidnlambeth-561cbc91,ece,emeritus,true,David N. Lambeth,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-erdogmus-94eea046,ece,teaching,true,Erdogmus,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-fanti-b183a14d,ece,faculty,true,Fanti,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-fedder-9b6d9713,ece,faculty,true,Fedder,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-franchetti-3c3c9126,ece,faculty,true,Franchetti,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-ganger-9385a346,ece,faculty,true,Ganger,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-gibbons-99e0376f,ece,faculty,true,Gibbons,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
person-gligor-f4a4c729,ece,faculty,true,Gligor,https://www.ece.cmu.edu/directory/faculty.html,2026-07-17
